TYPE,tycod,typ_eng,sub_tycod,sub_eng,SocDis,PrivateConflict,Violence,Guns,Frequency_2015,Frequency_2016,Frequency_2017,Frequency_2018,yr.intro,last.yr
MAJORTRAP,MAJOR,MAJOR INCIDENT,TRAP,ENTRAPMENT/EXTRICATION   (F) (E) (P),0,0,0,0,6,3,2,8,2014,2018
MAJORWATER,MAJOR,MAJOR INCIDENT,WATER,WATER RESCUE   (F) (E) (P),0,0,0,0,12,5,4,7,2015,2018
MEDICALASSIST,MEDICAL,MEDICAL INCIDENT,ASSIST,ASSIST   (E) (F),0,0,0,0,0,0,0,0,2014,2014
MISCDEFAULT,MISC,MISCELLANEOUS CALLS,DEFAULT,NA,0,0,0,0,59772,58052,63870,73084,2014,2019
MISCPOCKET,MISC,MISCELLANEOUS CALLS,POCKET,POCKET DIAL,0,0,0,0,17818,14981,4848,6362,2015,2019
MISSING===>>>,MISSING,INVESTIGATE PERSON,===>>>,PICK A SUBTYPE,0,0,0,0,44,30,45,33,2014,2019
MISSINGCOMP,MISSING,INVESTIGATE PERSON,COMP,MISSING PERSON WITH COMPLICATIONS,0,0,0,0,170,135,83,81,2014,2019
MISSINGPERSON,MISSING,INVESTIGATE PERSON,PERSON,MISSING PERSON REPORT,0,0,0,0,848,822,601,488,2014,2019
MVA===>>>,MVA,MOTOR VEHICLE ACCIDENT,===>>>,PICK A SUB-TYPE,0,0,0,0,327,324,286,270,2014,2019
MVACODEA,MVA,MOTOR VEHICLE ACCIDENT,CODEA,FD VEHICLE ACCIDENT   (F) (P),0,0,0,0,167,145,104,134,2014,2019
MVADD,MVA,MOTOR VEHICLE ACCIDENT,DD,WITH DRUNK DRIVER,0,0,0,0,333,325,314,251,2014,2019
MVAEMS,MVA,MOTOR VEHICLE ACCIDENT,EMS,EMS VEHICLE INVOLVED   (E) (P),0,0,0,0,99,75,83,91,2014,2019
MVAEMSMVA,MVA,MOTOR VEHICLE ACCIDENT,EMSMVA,EMS VEHICLE INVOLVED   (E) (P),0,0,0,0,34,21,26,36,2014,2019
MVAHITRUN,MVA,MOTOR VEHICLE ACCIDENT,HITRUN,HIT AND RUN REPORT,0,0,0,0,6616,6144,6407,6278,2014,2019
MVAINJ,MVA,MOTOR VEHICLE ACCIDENT,INJ,REPORTED INJURIES   (P) (E) (F),0,0,0,0,3229,3310,3238,2787,2014,2019
MVAMVAINJ,MVA,MOTOR VEHICLE ACCIDENT,MVAINJ,REPORTED INJURIES   (P) (E) (F),0,0,0,0,2,15,9,34,2015,2019
MVAMVAUNK,MVA,MOTOR VEHICLE ACCIDENT,MVAUNK,UNKNOWN IF INJURIES - ADVISE NEED FOR EMS   (P) (E) (F),0,0,0,0,21,26,18,30,2014,2019
MVAMVPED1,MVA,MOTOR VEHICLE ACCIDENT,MVPED1,PEDESTRIAN STRUCK   (P) (E) (F),0,0,0,0,0,3,2,3,2016,2018
MVAMVPED2,MVA,MOTOR VEHICLE ACCIDENT,MVPED2,PEDESTRIAN STRUCK - CONSCIOUS/MOVING   (P) (E) (F),0,0,0,0,1,1,0,1,2015,2018
MVANOINJ,MVA,MOTOR VEHICLE ACCIDENT,NOINJ,NO INJURIES,0,0,0,0,8476,8911,10041,9808,2014,2019
MVAPED1,MVA,MOTOR VEHICLE ACCIDENT,PED1,PEDESTRIAN STRUCK   (P) (E) (F),0,0,0,0,1419,1480,1272,1100,2014,2019
MVAPED2,MVA,MOTOR VEHICLE ACCIDENT,PED2,PEDESTRIAN STRUCK - CONSCIOUS/MOVING   (P) (E) (F),0,0,0,0,400,475,435,519,2014,2019
MVAPOLICE,MVA,MOTOR VEHICLE ACCIDENT,POLICE,BPD INVOVLED IN ACCIDENT,0,0,0,0,123,135,171,193,2014,2019
MVARPT,MVA,MOTOR VEHICLE ACCIDENT,RPT,REPORT,0,0,0,0,501,351,301,527,2014,2019
MVATRAPPED,MVA,MOTOR VEHICLE ACCIDENT,TRAPPED,ENTRAPMENT   (P) (E) (F),0,0,0,0,38,40,33,30,2014,2019
MVAUNK,MVA,MOTOR VEHICLE ACCIDENT,UNK,UNKNOWN IF INJURIES - ADVISE NEED FOR EMS   (P) (E) (F),0,0,0,0,3521,3820,3667,3314,2014,2019
OTDEFAULT,OT,OFFICER IN TROUBLE  (P) (E),DEFAULT,NA,0,0,0,0,45,48,35,32,2014,2019
PERGUNDEFAULT,PERGUN,PERSON WITH A GUN,DEFAULT,NA,0,0,0,1,1117,1075,1114,952,2014,2019
PKNIFEDEFAULT,PKNIFE,PERSON WITH A KNIFE,DEFAULT,NA,0,0,1,0,1250,1249,1186,1270,2014,2019
POISON===>>>,POISON,POISONING / OVERDOSE,===>>>,PICK A SUB-TYPE,0,0,0,0,0,1,1,0,2014,2017
POISONINGEST,POISON,POISONING / OVERDOSE,INGEST,INGESTED POISON,0,0,0,0,49,55,47,39,2014,2019
POISONOD1,POISON,POISONING / OVERDOSE,OD1,OVERDOSE,0,0,0,0,339,528,583,631,2014,2019
POISONOD2,POISON,POISONING / OVERDOSE,OD2,OVERDOSE,0,0,0,0,891,885,886,783,2014,2019
PRIORDEFAULT,PRIOR,PRIOR EVENT,DEFAULT,NA,0,0,0,0,4037,3864,3865,3726,2014,2019
PROP===>>>,PROP,PROPERTY,===>>>,PICK A SUB TYPE,0,0,0,0,16,18,10,10,2014,2018
PROPDRPT,PROP,PROPERTY,DRPT,DAMAGE REPORT,0,0,0,0,624,587,680,574,2014,2019
PROPFOUND,PROP,PROPERTY,FOUND,FOUND,0,0,0,0,1107,1043,1311,1308,2014,2019
PROPLOST,PROP,PROPERTY,LOST,LOST,0,0,0,0,2876,2691,3051,3481,2014,2019
PROTESTDEFAULT,PROTEST,PROTESTERS GATHERING,DEFAULT,NA,0,0,0,0,234,268,180,303,2014,2019
PRSCRMDEFAULT,PRSCRM,PERSON SCREAMING FOR HELP,DEFAULT,NA,0,0,0,0,795,973,972,881,2014,2019
PSHOTDEFAULT,PSHOT,PERSON SHOT   (P) (E),DEFAULT,NA,0,0,0,1,347,326,352,273,2014,2019
REQEPDEFAULT,REQEP,REQUEST EMS AND BPD RESPONSE,DEFAULT,NA,0,0,0,0,1199,1592,1965,1887,2014,2019
REQHDEFAULT,REQH,REQUEST BHA PD RESPONSE,DEFAULT,NA,0,0,0,0,7,4,19,4,2014,2018
REQPDEFAULT,REQP,REQUEST BPD RESPONSE,DEFAULT,NA,0,0,0,0,4443,4194,3988,3576,2014,2019
RESPCHOKE,RESP,DIFFICULTY BREATHING,CHOKE,CHOKING   (E) (F) (P),0,0,0,0,83,80,96,94,2014,2019
RIOTDEFAULT,RIOT,RIOT,DEFAULT,NA,0,0,0,0,0,1,2,0,2016,2017
ROBBERY===>>>,ROBBERY,ROBBERY,===>>>,PICK A SUB-TYPE,0,0,0,0,10,7,5,5,2014,2018
ROBBERYARM,ROBBERY,ROBBERY,ARM,ARMED ROBBERY IN PROGRESS,0,0,0,0,73,79,56,68,2014,2019
ROBBERYARMRPT,ROBBERY,ROBBERY,ARMRPT,ARMED ROBBERY REPORT,0,0,0,0,58,65,41,36,2014,2019
ROBBERYIP,ROBBERY,ROBBERY,IP,IN PROGRESS,0,0,0,0,718,671,591,453,2014,2019
ROBBERYRPT,ROBBERY,ROBBERY,RPT,REPORT,0,0,0,0,384,437,366,288,2014,2019
SDNDTHDEFAULT,SDNDTH,SUDDEN DEATH (P) INVEST/DECLAR (E),DEFAULT,NA,0,0,0,0,53,65,67,67,2014,2019
SECT35DEFAULT,SECT35,SECTION 35 (CIVIL COMMITMENT),DEFAULT,NA,0,0,0,0,0,0,0,68,2018,2019
SEXASTIP,SEXAST,SEXUAL ASSAULT ,IP,IN PROGRESS,0,0,0,0,0,18,10,0,2016,2017
SEXASTRPT,SEXAST,SEXUAL ASSAULT ,RPT,REPORT,0,0,0,0,0,129,64,0,2016,2017
SHOTSDEFAULT,SHOTS,SHOTS FIRED,DEFAULT,NA,0,0,0,1,1475,1452,1445,1117,2014,2019
SILCAL===>>>,SILCAL,SILENT CALL,===>>>,PICK A SUBTYPE,0,0,0,0,0,65,0,0,2016,2016
SILCALDEFAULT,SILCAL,SILENT CALL,DEFAULT,NA,0,0,0,0,0,8,0,0,2016,2016
SILCELDEFAULT,SILCEL,SILENT CELL,DEFAULT,NA,0,0,0,0,0,24,0,0,2016,2016
SILENT===>>>,SILENT,SILENT CALL,===>>>,PICK A SUBTYPE ,0,0,0,0,0,19,5,1,2016,2019
SILENTCELL,SILENT,SILENT CALL,CELL,FROM A CELL PHONE ,0,0,0,0,0,3390,12731,16778,2016,2019
SILENTSILCAL,SILENT,SILENT CALL,SILCAL,FROM A RESIDENCE OR BUSINESS,0,0,0,0,0,131,676,730,2016,2019
SNOWEMERGENCY,SNOW,SNOW EMERGENCY,EMERGENCY,EMERGENCY TRANSPORT,0,0,0,0,50,0,0,0,2015,2015
SNOWTRANSPORT,SNOW,SNOW EMERGENCY,TRANSPORT,TRANSPORT,0,0,0,0,16,0,0,0,2015,2015
SPDEFAULT,SP,SUBJECT PURSUIT,DEFAULT,NA,0,0,0,0,30,10,17,28,2014,2018
SSA===>>>,SSA,SHOT SPOTTER ACTIVATION,===>>>,PICK A SUBTYPE,0,0,0,0,167,320,371,428,2014,2019
SSAFIRWKS,SSA,SHOT SPOTTER ACTIVATION,FIRWKS,FIREWORKS,0,0,0,0,1,1,1,0,2015,2017
SSAMULTIPLE,SSA,SHOT SPOTTER ACTIVATION,MULTIPLE,MULTIPLE SHOTS FIRED ,0,0,0,0,38,32,56,39,2014,2019
SSAOTHER,SSA,SHOT SPOTTER ACTIVATION,OTHER,OTHER,0,0,0,0,1,1,0,0,2014,2016
SSAPOSSIBLE,SSA,SHOT SPOTTER ACTIVATION,POSSIBLE,POSSIBLE SHOTS,0,0,0,0,27,3,19,3,2014,2018
SSASHOTS,SSA,SHOT SPOTTER ACTIVATION,SHOTS,SHOTS,0,0,0,0,215,150,138,104,2014,2019
SSDEFAULT,SS,SUSPECT STOP,DEFAULT,NA,0,0,0,0,4858,3764,3546,3611,2014,2019
STABDEFAULT,STAB,PERSON STABBED   (P) (E),DEFAULT,NA,0,0,0,0,477,457,470,390,2014,2019
STALKDEFAULT,STALK,STALKING,DEFAULT,NA,0,0,0,0,18,30,7,0,2015,2017
STREETDEFAULT,STREET,STREET CLOSURE NOTIFICATION,DEFAULT,NA,0,0,0,0,2252,2539,2815,2445,2014,2019
SUSOBJDEFAULT,SUSOBJ,SUSPICIOUS OBJECT REPORTED,DEFAULT,NA,0,0,0,0,806,1103,1045,732,2014,2019
TEST===>>>,TEST,TEST CALL,===>>>,PICK A SUB-TYPE,0,0,0,0,78,131,196,158,2014,2019
TESTALLDEFAULT,TESTALL,ALL AGENCY TEST,DEFAULT,NA,0,0,0,0,4,0,0,0,2014,2019
TESTBFDDEFAULT,TESTBFD,BFD TEST CALL,DEFAULT,NA,0,0,0,0,0,0,0,0,2014,2014
TESTBPD,TEST,TEST CALL,BPD,BPD TEST - NO DISPATCH,0,0,0,0,962,993,681,668,2014,2019
TESTBPDDEFAULT,TESTBPD,BPD TEST CALL,DEFAULT,NA,0,0,0,0,498,17,3,18,2014,2019
TESTDEFAULT,TEST,TEST CALL,DEFAULT,NA,0,0,0,0,0,0,0,0,2014,2014
TMPHYDDEFAULT,TMPHYD,TAMPERING W/ FIRE HYDRANT,DEFAULT,NA,0,0,0,0,0,0,1,0,2017,2017
TPDEFAULT,TP,TRAFFIC PURSUIT,DEFAULT,NA,0,0,0,0,45,7,46,31,2014,2019
TRAIN===>>>,TRAIN,TRAINING,===>>>,PICK A SUB-TYPE,0,0,0,0,6,64,19,28,2014,2018
TRAINALL,TRAIN,TRAINING,ALL,ALL AGENCY TRAINING,0,0,0,0,4,3,0,2,2014,2018
TRAINLOGANDRILL,TRAIN,TRAINING,LOGANDRILL,LOGAN DRILL,0,0,0,0,3,0,1,1,2015,2018
TRASH===>>>,TRASH,TRASH,===>>>,PICK A SUBTYPE,0,0,0,0,0,1,3,3,2016,2018
TRASHDUMP,TRASH,TRASH,DUMP,ILLEGAL DUMPING,0,0,0,0,0,0,47,70,2017,2019
TRASHRUMAGE,TRASH,TRASH,RUMAGE,RUMMAGE,0,0,0,0,0,0,33,110,2017,2019
TRAUMADEFAULT,TRAUMA,TRAUMA   (E) (F) (P),DEFAULT,NA,0,0,0,0,63,54,42,38,2014,2019
TSDEFAULT,TS,TRAFFIC STOP,DEFAULT,NA,0,0,0,0,19290,16582,14417,16627,2014,2019
UNCONSDEFAULT,UNCONS,UNCONSCIOUS PERSON   (E) (F) (P),DEFAULT,NA,0,0,0,0,3710,3611,3390,3033,2014,2019
UNKDEFAULT,UNK,UNKNOWN PROBLEM,DEFAULT,NA,0,0,0,0,2747,2604,2585,2440,2014,2019
UNKEMSDEFAULT,UNKEMS,UNABLE TO DETERMINE IF CONS/MOVING   (E) (F) (P),DEFAULT,NA,0,0,0,0,6694,7508,8042,8323,2014,2019
VANDDEFAULT,VAND,VANDALISM,DEFAULT,NA,0,0,0,0,169,135,126,136,2014,2019
VANDIP,VAND,VANDALISM,IP,IN PROGRESS,1,0,0,0,1096,1252,1207,1056,2014,2019
VANDRPT,VAND,VANDALISM,RPT,REPORT,0,1,0,0,3851,3629,3247,2953,2014,2019
VANDSTNING,VAND,VANDALISM,STNING,STONING MOTOR VEHICLE,0,0,0,0,110,98,82,60,2014,2019
VIORDRDEFAULT,VIORDR,VIOLATION OF THE RESTRAINING ORDER,DEFAULT,NA,0,1,0,0,1441,1484,1395,1211,2014,2019
